"V1" "V2" "V3"
"1" 0 0 1
"2" 0 -1 1
"3" 0 0 1
"4" 0 -1 1
"5" -1 -1 1
"6" -1 0 1
"7" -1 0 0
"8" -1 0 -1
"9" -1 1 -1
"10" -1 1 -2
"11" -2 1 -2
"12" -2 1 -1
"13" -3 1 -1
"14" -2 1 -1
"15" -3 1 -1
"16" -3 0 -1
"17" -2 0 -1
"18" -2 -1 -1
"19" -2 0 -1
"20" -1 0 -1
"21" -1 1 -1
"22" -1 0 -1
"23" -2 0 -1
"24" -2 0 -2
"25" -2 1 -2
"26" -2 1 -3
"27" -3 1 -3
"28" -4 1 -3
"29" -4 1 -2
"30" -4 2 -2
"31" -4 3 -2
"32" -3 3 -2
"33" -3 2 -2
"34" -2 2 -2
"35" -2 3 -2
"36" -1 3 -2
"37" -1 3 -3
"38" -1 3 -2
"39" -1 4 -2
"40" -1 5 -2
"41" -2 5 -2
"42" -2 5 -1
"43" -2 5 0
"44" -2 5 -1
"45" -2 4 -1
"46" -1 4 -1
"47" -1 3 -1
"48" -2 3 -1
"49" -2 2 -1
"50" -2 3 -1
"51" -1 3 -1
"52" -1 3 -2
"53" -1 3 -3
"54" -1 3 -2
"55" -1 4 -2
"56" -1 4 -1
"57" 0 4 -1
"58" 1 4 -1
"59" 2 4 -1
"60" 3 4 -1
"61" 3 4 0
"62" 3 5 0
"63" 3 6 0
"64" 3 6 1
"65" 3 6 2
"66" 4 6 2
"67" 4 6 1
"68" 5 6 1
"69" 5 6 2
"70" 4 6 2
"71" 4 6 3
"72" 4 6 2
"73" 4 6 3
"74" 5 6 3
"75" 5 7 3
"76" 5 7 2
"77" 5 8 2
"78" 5 8 3
"79" 5 8 2
"80" 5 8 1
"81" 4 8 1
"82" 4 8 0
"83" 4 8 -1
"84" 4 8 0
"85" 3 8 0
"86" 3 9 0
"87" 3 9 -1
"88" 2 9 -1
"89" 2 9 0
"90" 2 9 1
"91" 3 9 1
"92" 3 8 1
"93" 4 8 1
"94" 5 8 1
"95" 4 8 1
"96" 3 8 1
"97" 3 8 0
"98" 4 8 0
"99" 5 8 0
"100" 5 8 -1
"101" 5 8 0
"102" 5 8 1
"103" 5 9 1
"104" 5 10 1
"105" 5 10 2
"106" 5 10 3
"107" 5 10 4
"108" 6 10 4
"109" 6 11 4
"110" 7 11 4
"111" 8 11 4
"112" 8 11 3
"113" 8 11 2
"114" 8 11 3
"115" 9 11 3
"116" 9 11 4
"117" 8 11 4
"118" 9 11 4
"119" 9 11 5
"120" 9 11 4
"121" 9 12 4
"122" 9 12 3
"123" 8 12 3
"124" 8 13 3
"125" 8 13 4
"126" 8 12 4
"127" 8 12 3
"128" 8 11 3
"129" 8 11 4
"130" 8 11 5
"131" 9 11 5
"132" 9 12 5
"133" 9 13 5
"134" 8 13 5
"135" 8 13 4
"136" 7 13 4
"137" 7 13 5
"138" 7 12 5
"139" 7 13 5
"140" 7 14 5
"141" 8 14 5
"142" 8 15 5
"143" 8 14 5
"144" 9 14 5
"145" 9 13 5
"146" 9 13 4
"147" 9 13 5
"148" 8 13 5
"149" 9 13 5
"150" 8 13 5
"151" 9 13 5
"152" 9 13 6
"153" 10 13 6
"154" 10 13 7
"155" 9 13 7
"156" 10 13 7
"157" 9 13 7
"158" 8 13 7
"159" 9 13 7
"160" 10 13 7
"161" 11 13 7
"162" 12 13 7
"163" 13 13 7
"164" 13 13 8
"165" 13 13 7
"166" 13 13 8
"167" 13 13 9
"168" 13 13 8
"169" 13 12 8
"170" 12 12 8
"171" 12 12 9
"172" 11 12 9
"173" 11 11 9
"174" 10 11 9
"175" 10 11 8
"176" 10 11 9
"177" 10 11 8
"178" 9 11 8
"179" 9 11 7
"180" 9 11 8
"181" 9 11 9
"182" 9 11 8
"183" 9 11 9
"184" 9 12 9
"185" 8 12 9
"186" 9 12 9
"187" 9 13 9
"188" 9 12 9
"189" 9 12 10
"190" 9 12 11
"191" 9 12 12
"192" 9 12 13
"193" 9 12 14
"194" 9 13 14
"195" 9 14 14
"196" 9 15 14
"197" 8 15 14
"198" 8 14 14
"199" 9 14 14
"200" 10 14 14
"201" 10 14 15
"202" 11 14 15
"203" 11 15 15
"204" 11 15 16
"205" 11 15 15
"206" 12 15 15
"207" 12 14 15
"208" 13 14 15
"209" 13 14 14
"210" 12 14 14
"211" 12 14 13
"212" 12 15 13
"213" 12 16 13
"214" 12 16 12
"215" 12 17 12
"216" 13 17 12
"217" 13 18 12
"218" 14 18 12
"219" 14 18 11
"220" 15 18 11
"221" 14 18 11
"222" 14 18 12
"223" 15 18 12
"224" 14 18 12
"225" 15 18 12
"226" 15 17 12
"227" 15 17 13
"228" 15 17 14
"229" 15 18 14
"230" 15 18 15
"231" 16 18 15
"232" 16 18 14
"233" 16 18 15
"234" 15 18 15
"235" 14 18 15
"236" 13 18 15
"237" 13 19 15
"238" 13 18 15
"239" 13 18 16
"240" 14 18 16
"241" 15 18 16
"242" 15 18 15
"243" 14 18 15
"244" 15 18 15
"245" 15 18 16
"246" 15 19 16
"247" 16 19 16
"248" 17 19 16
"249" 17 19 17
"250" 17 20 17
"251" 17 20 18
"252" 17 19 18
"253" 18 19 18
"254" 17 19 18
"255" 17 19 19
"256" 18 19 19
"257" 17 19 19
"258" 17 19 20
"259" 17 19 21
"260" 18 19 21
"261" 17 19 21
"262" 17 20 21
"263" 17 20 22
"264" 17 19 22
"265" 18 19 22
"266" 17 19 22
"267" 17 19 23
"268" 17 20 23
"269" 17 20 22
"270" 17 20 23
"271" 17 20 24
"272" 17 21 24
"273" 18 21 24
"274" 17 21 24
"275" 17 21 23
"276" 17 22 23
"277" 17 22 22
"278" 17 22 21
"279" 17 21 21
"280" 17 21 22
"281" 17 22 22
"282" 17 22 21
"283" 17 22 20
"284" 18 22 20
"285" 18 21 20
"286" 19 21 20
"287" 19 21 19
"288" 19 21 18
"289" 19 20 18
"290" 18 20 18
"291" 18 20 17
"292" 18 20 16
"293" 18 20 17
"294" 18 20 16
"295" 18 20 15
"296" 18 20 16
"297" 18 19 16
"298" 19 19 16
"299" 19 20 16
"300" 20 20 16
"301" 19 20 16
"302" 19 21 16
"303" 19 21 17
"304" 20 21 17
"305" 19 21 17
"306" 18 21 17
"307" 18 22 17
"308" 19 22 17
"309" 19 22 18
"310" 18 22 18
"311" 18 23 18
"312" 18 24 18
"313" 18 24 17
"314" 18 24 16
"315" 19 24 16
"316" 20 24 16
"317" 19 24 16
"318" 18 24 16
"319" 18 24 15
"320" 18 23 15
"321" 18 24 15
"322" 19 24 15
"323" 19 25 15
"324" 18 25 15
"325" 18 25 16
"326" 18 25 15
"327" 18 25 14
"328" 18 24 14
"329" 18 23 14
"330" 18 23 13
"331" 17 23 13
"332" 17 23 12
"333" 17 23 11
"334" 17 23 10
"335" 17 23 9
"336" 17 23 8
"337" 17 23 7
"338" 17 23 8
"339" 17 23 7
"340" 16 23 7
"341" 15 23 7
"342" 14 23 7
"343" 14 24 7
"344" 14 24 8
"345" 14 24 9
"346" 13 24 9
"347" 13 24 8
"348" 13 25 8
"349" 14 25 8
"350" 15 25 8
"351" 15 25 9
"352" 16 25 9
"353" 16 24 9
"354" 16 23 9
"355" 16 22 9
"356" 17 22 9
"357" 16 22 9
"358" 15 22 9
"359" 16 22 9
"360" 16 22 8
"361" 17 22 8
"362" 17 21 8
"363" 17 21 9
"364" 17 21 8
"365" 17 20 8
"366" 17 21 8
"367" 17 21 9
"368" 16 21 9
"369" 16 22 9
"370" 16 21 9
"371" 16 22 9
"372" 17 22 9
"373" 18 22 9
"374" 17 22 9
"375" 17 23 9
"376" 18 23 9
"377" 18 23 10
"378" 18 23 9
"379" 18 24 9
"380" 18 25 9
"381" 17 25 9
"382" 17 26 9
"383" 18 26 9
"384" 18 26 10
"385" 18 27 10
"386" 17 27 10
"387" 17 27 11
"388" 17 26 11
"389" 17 25 11
"390" 17 25 12
"391" 17 25 13
"392" 17 24 13
"393" 18 24 13
"394" 18 25 13
"395" 17 25 13
"396" 16 25 13
"397" 16 25 14
"398" 16 24 14
"399" 16 24 15
"400" 16 24 16
"401" 17 24 16
"402" 16 24 16
"403" 16 25 16
"404" 16 26 16
"405" 15 26 16
"406" 15 26 15
"407" 15 26 16
"408" 14 26 16
"409" 14 25 16
"410" 15 25 16
"411" 15 25 17
"412" 16 25 17
"413" 16 26 17
"414" 15 26 17
"415" 15 26 18
"416" 15 25 18
"417" 15 25 17
"418" 14 25 17
"419" 13 25 17
"420" 13 24 17
"421" 13 24 16
"422" 14 24 16
"423" 14 24 15
"424" 14 24 16
"425" 14 24 15
"426" 14 23 15
"427" 14 24 15
"428" 14 24 16
"429" 14 24 15
"430" 14 23 15
"431" 13 23 15
"432" 14 23 15
"433" 14 23 16
"434" 14 22 16
"435" 14 22 17
"436" 15 22 17
"437" 16 22 17
"438" 16 23 17
"439" 16 24 17
"440" 16 23 17
"441" 16 24 17
"442" 16 23 17
"443" 17 23 17
"444" 16 23 17
"445" 17 23 17
"446" 18 23 17
"447" 18 23 18
"448" 18 24 18
"449" 18 25 18
"450" 18 24 18
"451" 18 24 19
"452" 18 23 19
"453" 18 23 18
"454" 17 23 18
"455" 17 22 18
"456" 17 22 17
"457" 17 22 16
"458" 18 22 16
"459" 18 21 16
"460" 18 22 16
"461" 18 21 16
"462" 17 21 16
"463" 17 20 16
"464" 17 20 17
"465" 17 20 16
"466" 17 19 16
"467" 16 19 16
"468" 17 19 16
"469" 17 18 16
"470" 17 18 15
"471" 17 17 15
"472" 17 16 15
"473" 16 16 15
"474" 16 16 14
"475" 16 16 15
"476" 16 15 15
"477" 15 15 15
"478" 16 15 15
"479" 15 15 15
"480" 15 16 15
"481" 15 16 14
"482" 16 16 14
"483" 16 17 14
"484" 17 17 14
"485" 16 17 14
"486" 17 17 14
"487" 16 17 14
"488" 16 18 14
"489" 15 18 14
"490" 16 18 14
"491" 15 18 14
"492" 15 18 13
"493" 16 18 13
"494" 16 17 13
"495" 16 17 12
"496" 15 17 12
"497" 15 18 12
"498" 14 18 12
"499" 15 18 12
"500" 15 19 12
"501" 15 18 12
"502" 14 18 12
"503" 13 18 12
"504" 14 18 12
"505" 15 18 12
"506" 15 17 12
"507" 15 17 13
"508" 15 16 13
"509" 16 16 13
"510" 16 16 12
"511" 17 16 12
"512" 17 15 12
"513" 17 15 11
"514" 17 16 11
"515" 17 16 10
"516" 17 16 11
"517" 17 17 11
"518" 17 16 11
"519" 18 16 11
"520" 18 15 11
"521" 18 15 10
"522" 18 15 11
"523" 18 15 12
"524" 18 16 12
"525" 19 16 12
"526" 20 16 12
"527" 20 17 12
"528" 19 17 12
"529" 19 17 13
"530" 19 17 12
"531" 19 17 13
"532" 19 18 13
"533" 20 18 13
"534" 20 18 12
"535" 20 17 12
"536" 20 17 13
"537" 20 16 13
"538" 20 17 13
"539" 19 17 13
"540" 19 18 13
"541" 18 18 13
"542" 18 17 13
"543" 18 17 14
"544" 18 16 14
"545" 17 16 14
"546" 17 15 14
"547" 17 15 13
"548" 18 15 13
"549" 17 15 13
"550" 17 14 13
"551" 17 14 12
"552" 17 14 11
"553" 16 14 11
"554" 16 15 11
"555" 15 15 11
"556" 15 16 11
"557" 15 16 10
"558" 16 16 10
"559" 16 17 10
"560" 17 17 10
"561" 17 18 10
"562" 17 18 11
"563" 16 18 11
"564" 17 18 11
"565" 17 19 11
"566" 16 19 11
"567" 16 20 11
"568" 16 20 10
"569" 16 20 9
"570" 16 20 8
"571" 16 21 8
"572" 16 22 8
"573" 16 22 9
"574" 15 22 9
"575" 14 22 9
"576" 14 23 9
"577" 14 23 10
"578" 14 22 10
"579" 14 23 10
"580" 14 23 9
"581" 15 23 9
"582" 15 24 9
"583" 15 25 9
"584" 14 25 9
"585" 13 25 9
"586" 14 25 9
"587" 14 26 9
"588" 14 27 9
"589" 15 27 9
"590" 15 26 9
"591" 15 26 10
"592" 15 26 11
"593" 15 25 11
"594" 14 25 11
"595" 14 25 12
"596" 13 25 12
"597" 12 25 12
"598" 12 25 13
"599" 12 24 13
"600" 12 25 13
"601" 11 25 13
"602" 10 25 13
"603" 10 25 14
"604" 10 25 15
"605" 10 25 16
"606" 11 25 16
"607" 11 25 15
"608" 10 25 15
"609" 9 25 15
"610" 9 25 16
"611" 9 25 15
"612" 10 25 15
"613" 10 26 15
"614" 10 27 15
"615" 10 27 16
"616" 10 28 16
"617" 11 28 16
"618" 11 28 17
"619" 11 29 17
"620" 11 29 18
"621" 11 29 17
"622" 11 29 16
"623" 12 29 16
"624" 12 30 16
"625" 12 29 16
"626" 12 28 16
"627" 12 28 15
"628" 12 27 15
"629" 11 27 15
"630" 11 27 16
"631" 10 27 16
"632" 10 28 16
"633" 10 27 16
"634" 10 26 16
"635" 11 26 16
"636" 11 26 17
"637" 11 27 17
"638" 11 26 17
"639" 11 25 17
"640" 11 25 16
"641" 11 25 17
"642" 11 26 17
"643" 11 25 17
"644" 11 25 18
